id;isbn;title;description;cover_image_url;page_count;publication_date;language;average_rating;total_ratings;total_reviews;created_at;updated_at
1;lest mmm;past oof;../fake-data/blob/hipster.txt;pigsty;17281;2025-11-07;not;29233.94;22423;6386;2025-11-08T03:40:42;2025-11-08T08:27:32
2;supposing barring polite;happily release now;../fake-data/blob/hipster.txt;sunbeam;357;2025-11-07;through eek;2282.67;11173;31018;2025-11-08T05:52:29;2025-11-07T11:53:44
3;designation fortunately;apprehensive dredger mmm;../fake-data/blob/hipster.txt;precious energetically pleasure;18592;2025-11-08;illusion broadcast daintily;20117.75;25003;31463;2025-11-08T03:45:57;2025-11-08T07:25:58
4;worth around;that seldom minor;../fake-data/blob/hipster.txt;huzzah;32340;2025-11-07;whenever gleefully rival;5290.67;32129;16404;2025-11-07T18:27:22;2025-11-08T06:12:15
5;wherever eulogise since;drat cap;../fake-data/blob/hipster.txt;kosher fatally for;8234;2025-11-07;ugh when duh;31474.36;13261;11259;2025-11-07T21:22:54;2025-11-07T23:00:15
6;greedily;these;../fake-data/blob/hipster.txt;well-off aw;12799;2025-11-08;for adjourn on;24083.83;20271;4160;2025-11-08T02:34:51;2025-11-07T18:15:49
7;usefully repurpose prudent;correctly;../fake-data/blob/hipster.txt;unlined;8653;2025-11-07;wonderfully;32451.01;18637;19164;2025-11-07T11:31:54;2025-11-07T19:12:24
8;fearless athwart;dress;../fake-data/blob/hipster.txt;battle bright when;30406;2025-11-07;armchair uh-huh a;12935.38;7155;8037;2025-11-08T02:05:29;2025-11-07T17:25:01
9;pfft redact physical;fluffy coaxingly grouchy;../fake-data/blob/hipster.txt;whisper culture;17504;2025-11-08;instead known;12194.56;1224;31526;2025-11-07T13:45:24;2025-11-07T11:55:03
10;lest;sans hmph gee;../fake-data/blob/hipster.txt;yet;13480;2025-11-07;mmm nor athwart;11863.63;2144;25301;2025-11-07T12:40:16;2025-11-08T09:14:03
