id;name;slug;description;created_at;updated_at
1;upwardly jumbo;fax eyeliner;../fake-data/blob/hipster.txt;2025-11-08T01:00:19;2025-11-08T04:55:28
2;as serve;separately;../fake-data/blob/hipster.txt;2025-11-07T21:37:23;2025-11-07T15:37:09
3;discourse readies;daily under ick;../fake-data/blob/hipster.txt;2025-11-07T13:15:32;2025-11-07T23:14:00
4;rebound mmm upward;courageous boulevard;../fake-data/blob/hipster.txt;2025-11-07T17:35:12;2025-11-08T04:15:53
5;upside-down;the sweetly;../fake-data/blob/hipster.txt;2025-11-08T05:39:51;2025-11-07T20:56:25
6;vice although whenever;as;../fake-data/blob/hipster.txt;2025-11-07T11:23:14;2025-11-08T05:30:09
7;twist oh thunderbolt;among sugary ha;../fake-data/blob/hipster.txt;2025-11-07T17:09:43;2025-11-08T03:28:09
8;navigate er;near roadway;../fake-data/blob/hipster.txt;2025-11-08T02:25:31;2025-11-07T12:59:00
9;anti pish fraudster;aside;../fake-data/blob/hipster.txt;2025-11-08T02:35:37;2025-11-08T03:56:36
10;commonly;supposing;../fake-data/blob/hipster.txt;2025-11-07T10:50:22;2025-11-08T05:34:57
