id;name;website_url;logo_url;founded_date;created_at;updated_at
1;more;excess;oh until yum;2025-11-07;2025-11-07T18:13:30;2025-11-07T18:02:25
2;mechanically outrageous loaf;who sunbeam;terribly;2025-11-07;2025-11-08T01:31:41;2025-11-08T00:26:23
3;abaft even;psst rebel;insistent afore consequently;2025-11-07;2025-11-07T23:05:47;2025-11-07T12:31:28
4;brightly boo;insolence;supposing sans;2025-11-07;2025-11-08T05:02:30;2025-11-07T23:09:00
5;forceful language what;cauliflower lasting weary;during phew powerfully;2025-11-08;2025-11-08T02:41:58;2025-11-08T07:38:05
6;form;where;slide;2025-11-07;2025-11-08T02:45:54;2025-11-07T23:04:47
7;aggravating sand;given poorly unto;graft;2025-11-07;2025-11-07T23:53:43;2025-11-07T12:48:28
8;for overwork swear;to aboard frank;lobotomise intellect afraid;2025-11-08;2025-11-07T15:31:25;2025-11-07T16:46:15
9;behind um;cheese flickering fiercely;communicate;2025-11-07;2025-11-07T14:01:01;2025-11-07T16:58:52
10;drat;whoa duh;yum furlough;2025-11-08;2025-11-08T00:03:41;2025-11-07T19:30:21
