id;rating;created_at;updated_at;user_id;book_id
1;10118;2025-11-08T04:32:07;2025-11-07T18:50:30;1;1
2;10035;2025-11-07T21:03:46;2025-11-07T20:12:19;2;2
3;8541;2025-11-08T00:32:12;2025-11-08T07:49:29;2;3
4;19048;2025-11-07T17:34:11;2025-11-07T19:45:21;1;4
5;12480;2025-11-08T03:26:54;2025-11-07T10:27:16;2;5
6;8676;2025-11-08T04:40:21;2025-11-08T01:16:37;2;6
7;32713;2025-11-07T20:09:06;2025-11-07T21:15:30;2;7
8;546;2025-11-08T05:07:47;2025-11-07T19:23:29;2;8
9;2636;2025-11-08T01:33:44;2025-11-08T03:59:44;2;9
10;21764;2025-11-07T23:34:44;2025-11-07T16:52:25;1;10
