id;status;started_date;finished_date;current_page;created_at;updated_at;user_id;book_id
1;innocently;2025-11-08;2025-11-08;29286;2025-11-07T10:30:28;2025-11-08T05:40:04;1;1
2;lumbering incidentally;2025-11-07;2025-11-07;10284;2025-11-07T11:26:30;2025-11-08T01:18:51;2;2
3;psst arraign since;2025-11-07;2025-11-08;4158;2025-11-08T07:17:43;2025-11-07T14:46:24;2;3
4;yum muted amidst;2025-11-08;2025-11-07;13781;2025-11-08T08:39:30;2025-11-07T13:39:26;2;4
5;scientific aside advertisement;2025-11-07;2025-11-08;15393;2025-11-07T13:23:23;2025-11-07T10:08:11;2;5
6;as queasily lest;2025-11-07;2025-11-07;30747;2025-11-07T18:36:02;2025-11-08T01:53:03;1;6
7;hence besmirch discrete;2025-11-08;2025-11-07;27937;2025-11-07T22:03:07;2025-11-08T05:02:50;1;7
8;procrastinate brr upward;2025-11-08;2025-11-07;16915;2025-11-07T16:27:34;2025-11-08T04:12:49;2;8
9;pinstripe hmph scramble;2025-11-07;2025-11-07;8908;2025-11-07T20:40:12;2025-11-07T13:03:35;2;9
10;loose inside soupy;2025-11-08;2025-11-08;9039;2025-11-07T22:32:57;2025-11-07T10:11:37;2;10
